"ID","Vetenskapligt namn","Order","Minsta order","Pris med moms","Plantskola","rekomenderas","kommentar","Ätligt","Zon","Storlekskommentar","Typ","höjd","Kruka","Lager","Länk"
"","Aronia melanocarpa 'Viking'","","","75","KZ","","","","","","T","","P9","",""
"","Acer tschonoskii rubripes syn. koreanum, komarowii ex Mustila","","","392","A","","","","","","T","80-120","C2/3,5",12,""
"","Alyssum (Aurinia) montanum 'Berggold'","",12,"28","BS","","","","","","P","","P9","",""
"","Acer palmatum 'Skeeter's Broom'","","","1322","S","","","","","","T","60-80 ","C5","",""
"","Athyrium filix-femina","","","85","BS","","","","","","O","","P11","",""
"","Astilbe x arendsii 'Fanal'","","","62","BS","","","","","","P","","C2","",""
"","Amelanchier canadensis 'October Flame'","","","493","S","","","","","","T","80-100","C5","",""
"","Achillea ptarmica 'Pearl Impr.'","","","59","Si","","","","","","P","","P13",234,""
"","Astrantia 'Moulin Rouge®'","","","85","BS","","","","","","P","","P11","",""
"","Aster alpinus 'Happy End'","","","49","Si","","","","","","P","","P13",250,""
"","Acer platanoides","","","357","S","","","","","","T","120-140","C5","",""
"","Alnus x spaethii","","","686","S","","japonica x subcordata","","","","T","120-140","C5","",""
"","Athyrium filix femina 'Rotstiel'","","","118","Si","","","","","","O","","C2",1,""
"","Astilbe x arendsii 'Red Pink'","","","62","BS","","","","","","P","","C2","",""
"","Aquilegia vulgaris frökälla Linderslund","","","30","Li","","akleja","","","","P","","P9",6,""
"","Berberis thunbergii 'Fireball' (PBR)","","","226","S","","","","","","T","15-20","C3","",""
"","Acer negundo 'Odessanum'","","","880","Si","","","","","ympad på stam","T","Pa 160-180","C12",20,""
"","Arachniodes miguelina","","","118","Si","","","","","","O","","C2",25,""
"","Betula utilis 'Long Trunk'","","","7000","S","","hängande himalayabjörk","","","","T","200-220/stamomf  14-16","C130 Pa","",""
"","Buddleja davidii REVE DE PAPILLON WHITE 'Minpap 2'","","","169","S","","","","","","T","40-60","C3","",""
"","Berberis media 'Red Jawel'","","","480","Si","","","","","","T","40-60","C15",2,""
"","Abies procera 'Glauca'","","","1600","Si","","","","","","B","60-80","C10",1,""
"","Aster ptarmicoides (Oligoneuron)","","","42","BS","","","","","","P","","P11","",""
"","Buxus sempervirens","","","980","Si","","","","","buske","T","60-80","C12",6,""
"","Acer palmatum 'Shirazz'","","","3929","S","","","","","","T","90-120","C20","",""
"","Betula albosinensis 'Kenneth Ashburner'","","","686","S","","","","","","T","40-60 ","C5","",""
"","Acer palmatum 'Osakazuki'","","","390","A","","Höstfärg !!","","","","T","50-70","C3,5",9,"https://youtu.be/lPOaZpuE794?t=73"
"","Buddleja davidii 'White Profusion'","","","169","S","","","","","","T","40-60","C3","",""
"","Betula utilis ssp. jacquemontii 'Doorenbos'","","","2828","S","","himalayabjörk","","","","T","220-240","C20","",""
"","Aquilegia caerulea 'Earlybird™ Purple White'","",12,"28","BS","","","","","","P","","P9","",""
"","Acer palmatum 'Fireglow'","","","1643","S","","","","","","T","40-60","C9","",""
"","Ajuga reptans 'Burgund Glow'","","","42","BS","","","","","","P","","P11","",""
"","Aesculus glabra 'Sofia'","","","3428","S","","","","","","T","260-280","C30","",""
"","Acer platanoides 'Krupa'","","","982","S","","","","","","T","60-80","C5","",""
"","Amelasorbus (x) jackii","","","600","S","","","","","","T","80-100","C5","",""
"","Actaea racemosa","","","85","BS","","","","","","P","","C2","",""
"","Astrantia 'Star of Fire®'","","","85","BS","","","","","","P","","C2","",""
"","Allium ursinum","",12,"28","BS","","","","","","P","","P9","",""
"","Anemone hupehensis","","","42","BS","","","","","","P","","P11","",""
"","Anemone japonica 'Whirlwind'","","","42","BS","","","","","","P","","P11","",""
"","Buddleja davidii 'Sophie 'PBR ","","","192","Si","","","","","","T","40-60","C3",121,""
"","Aesculus 'Laciniata'","","","829","S","","","","","","T","80-100","C7,5","",""
"","Agapanthus praecox subsp orientalis 'Royal Velvet'","","","196","Si","","","","0","","P","","P13",5,""
"","Acer griseum","","","943","S","","även en tråkig video jag gjort här om kopparlönnen","","","","T","80-100","C6","","http://fotodendron.se/trad/acer-griseum/"
"","Angelica gigas","","","42","BS","","rödkvanne, kortlivad men fröar av sig","","","","P","","P11","",""
"","Alcea rosea-plena 'Chaters Rot'","","","42","BS","","","","","","P","","P11","",""
"","Aruncus dioicus 'Sylvester'","","","62","BS","","","","","","P","","P11","",""
"","Astilbe chinensis 'Vision in Pink'","","","62","BS","","","","","","P","","C2","",""
"","Brachypodium sylvaticum","","","42","BS","","","","","","G","","P11","",""
"","Astilbe 'Brautschleier'","","","90","Li","","vitblommig astilbe","","","","P","","C2",9,""
"","Acer platanoides 'Gurba'","","","943","S","","","","","","T","80-100","C5","",""
"","Athyrium niponicum 'Burgundy Lace'","","","85","BS","","","","","","O","","P11","",""
"","Actinidia arguta 'Issai'","","","96","KZ","","","","","","K","","P9","",""
"","Aesculus bushii x","","","1028","S","","","","","","T","160-180","C5","",""
"","Brassica oleracea var. acephala ","","","30","KZ","","","","","","P","","P9","",""
"","Acer platanoides 'Globosum'","","","2880","Si","","","","","ympad på stam","T","Pa 200","C45",1,""
"","Artemisia schmidtiana 'Nana Attraction'","",12,"33","BS","","","","","","P","","P9","",""
"","Berberis thunbergii 'Summer Chocolate 'PBR ","","","224","Si","","","","","","T","40-60","C3",3,""
"","Acer pseudosiebodianum","","","336","A","","manchurisk solfjäderslönn","","","","T","60-80","C5/7,5",8,""
"","Aucuba japonica 'Rozannie'","","","216","Si","","","","","","T","20-30","C2",8,""
"","Abies nordmanniana 'Golden Spreader'","","","457","S","","","","","","B","15-20","C3","",""
"","Allium schoenoprasum","",12,"28","BS","","","","","","P","","P9","",""
"","Buddleja davidii 'Gulliver 'PBR ","","","240","Si","","","","","","T","60-80","C5",52,""
"","Aster dumosus 'Island Bahamas' PBR","","","78","Si","","","","","","P","","C2",33,""
"","Betula pendula 'Zöld Szakáll'","","","772","S","","hängform","","","","T","100-120","C5 Pa","",""
"","Acer rubrum BURGUNDY BELLE 'Magnificent Magenta' ","","","3428","S","","rödlönn","","","","T","280-300","C30","",""
"","Artemisia ludoviciana 'Valerie Finnis'","","","74","S","","","","","","P","","C2","",""
"","Aster 'Little Carlow'","","","74","S","","","","","","P","","C2","",""
"","Aesculus  dallimorei +","","","2214","S","","","","","","T","260-280/stamomf 8-10","C30","",""
"","Acer platanoides 'Globosum Select'","","","1686","S","","","","","","T","160-180","C12 Pa","",""
"","Astilbe x arendsii 'Irrlicht'","","","62","BS","","","","","","P","","C2","",""
"","Aesculus missipiensis 'Sarg'","","","829","S","","","","","","T","120-140","C5","",""
"","Berberis thunbergii 'Erecta'","","","126","S","","","","","","T","30-40","C3","",""
"","Acer carpinifolium","","","504","A","","","","","","T","100-120","C5",4,"http://fotodendron.se/trad/acer-carpinifolium/"
"","Acer pseudoplatanus 'Hermitage'","","","1200","S","","","","","","T","80-100","C7,5","",""
"","Ajuga reptans 'Blueberry Muffin'","","","99","S","","","","","","P","","C3","",""
"","Actinidia deliciosa 'Boskoop'","","","92","KZ","","","","","","K","","P9","",""
"","Berberis ottawensis (x) 'Auricoma'","","","257","S","","","","","","T","60-80","C7,5","",""
"","Aster dumosus 'Zwergenhimmel'","","","42","BS","","","","","","P","","P11","",""
"","Ajuga reptans 'Uciekinier -Byliny-Świerk 2006'","",12,"28","BS","","","","","","P","","P9","",""
"","Actinidia kolomikta 'Oskar'","","","252","A","","hanklon","","","","K","","C2/3,5",9,""
"","Berberis thunbergii 'Rosy Rocket' ","","","226","S","","","","","","T","40-60 ","C3","",""
"","Acer pseudosieboldianum fk. Best Form","","","585","A","","Höstfärg !! manchurisk solfjäderslönn, fröpl. från fin form","","","","T","120","C5",1,""
"","Aesculus glaucescens (x)","","","743","S","","","","","","T","120-140","C5","",""
"","Acer japonicum fröplantor av 'Aconitifolium'","","","504","A","","","","","","T","40-50","C5",6,""
"","Acer palmatum 'Crimson Princess'","","","3929","S","","","","","","T","100-120","C15","",""
"","Aronia melanocarpa 'Nero'","","","284","KZ","","","","4","","T","","C5","",""
"","Berberis thunbergii CHIQUITA 'Darkap2' PBR","","","226","S","","","","","","T","30-40","C3","",""
"","Betula pendula","","","257","S","","","","","","T","140-160","C5","",""
"","Buddleja davidii 'White Profusion'","","","364","S","","","","","","T","60-80","C7,5","",""
"","Alnus glutinosa 'Imperialis'","","","4434","S","","flikbladig klibbal, denna klon mycket fint flikad","","","","T","320-340/stamomf  6-8","C55 Pa","",""
"","Berberis thunbergii 'Maria'","","","197","S","","","","","","T","30-40","C3","",""
"","Achillea millefolium 'Appleblossom'","","","42","BS","","","","","","P","","P11","",""
"","Aubrieta gracilis 'Florado Blue Blush Bicolour'","","","42","BS","","","","","","P","","P11","",""
"","Artemisia ludoviciana 'Silver Queen'","","","62","BS","","vitmalört","","","","P","","P11","",""
"","Aesculus x carnea 'Briottii'","","","1872","A","","","","","","T","220-240","C10/15",7,""
"","Abies lasiocarpa 'Argentea'","","","2286","S","","","","","","B","140-160","C30 klump","",""
"","Alcea rosea 'plena Chaters Double Apricot'","","","42","BS","","","","","","P","","P11","",""
"","Aesculus hippocastanum 'Laciniata'","","","608","A","","flikbladig hästkastanj, buskväxande","","","","T","50-70","C5",11,""
"","Acer japonicum fröplantor av 'Aconitifolium'","","","380","A","","","","","","T","30-40","C3,5/5",15,""
"","Buddleja davidii 'Miss Violet' PBR","","","226","S","","","","","","T","30-40","C3","",""
"","Arctostaphylos uva-ursi 'Massechussets'","","","168","A","","mjölon","","","","T","","C3,5",6,""
"","Abies koreana","","","3734","S","","","","","","B","160-180","C80 klump","",""
"","Acer palmatum 'Skeeter's Broom'","","","4530","S","","","","","","T","140-160","C25","",""
"","Aesculus x hemiacantha 'Tor Nitzelius'","","","700","A","","Tors turbokastanj, hipp. x turbinata, mycket storbladig","","","ymp","T","100-140","C10",2,""
"","Anthriscus sylvestris","",12,"33","BS","","","","","","P","","P9","",""
"","Abies homolepis 'Nana Compacta'","","","960","Si","","","","","","B","50-60","C10",1,""
"","Brunnera macrophylla 'Alexander's Great'","","","120","BS","","","","","","P","","C2","",""
"","Aesculus flava 'Burning Gold' ","","","829","S","","","","","","T","80-100","C5","",""
"","Aruncus sinensis 'Zweiweltenkind'","",12,"28","BS","","","","","","P","","P9","",""
"","Aquilegia caerulea 'Crimson Star'","",12,"28","BS","","","","","","P","","P9","",""
"","Ajuga reptans 'Mahogany'","","","84","S","","","","","","P","","C3","",""
"","Brunnera macrophylla 'Langtrees'","","","42","BS","","","","","","P","","P11","",""
"","Abeliophyllum distichum 'Roseum'","","","380","A","","rosablommig vinterbuske, som en ljusrosa forsythia!","","2","","T","40-50","C5",10,""
"","Buddleja davidii 'Miss Ruby' PBR","","","457","S","","","","","","T","40-60","C5","",""
"","Abies concolor","","","4114","S","","","","","","B","160-180","C60 klump","","https://live.staticflickr.com/65535/51810809313_502c205763_o.png"
"","Acer saccharum ex Ramme","","","375","A","","sockerlönn","","","","T","80-120","C3,5",6,""
"","Anemone ranunculoides","",12,"33","BS","","gulsippa","","","","P","","P9","",""
"","Astilbe arendsii 'Astary® Red'","",12,"33","BS","","","","","","P","","P9","",""
"","Asparagus officinalis 'Precoce d'argentuil'","","","30","KZ","","","","","","P","","P9","",""
"","Aster (Eurybia) macrophyllus 'Twilight'","","","62","BS","","","","","","P","","C2","",""
"","Acer palmatum 'Osakazuki'","","","1643","S","","Höstfärg !!","","","","T","40-60 ","C9","","https://www.instagram.com/p/Bp75I1JAqPV/"
"","Aesculus marylandica x","","","829","S","","","","","","T","120-140","C5","",""
"","Buddleja davidii 'Miss Violet' PBR","","","457","S","","","","","","T","40-60","C5","",""
"","Acer pseudoplatanus 'Worley'","","","1943","S","","","","","","T","300-320/stamomf 6-8","C25","","https://www.vdberk.se/media/5820/acer_pseudoplatanus_worley.jpg"
"","Buddleja 'Wisteria Lane'","","","364","S","","","","","","T","40-60","C6","",""
"","Abies lasiocarpa 'Arizonica Compacta'","","","2043","S","","","","","","B","60-80","C30 klump","",""
"","Aesculus carnea (x) 'Briotii'","","","4714","S","","rödblommig hästkastanj","","","","T","220-240/stamomf 8-10","C60 Pa","",""
"","Aesculus pavia","","","532","A","","litet träd, rödrosa blommor, fin form import. USA","","","","T","30","C5",1,""
"","Anemone tomentosa 'Robustissima'","","","70","Li","","silvrig höstanemon, bra stabil sort","","","","P","","C2",12,""
"","Berberis thunbergii 'Red Pillar'","","","160","Si","","","","","","T","40-60","C3",21,""
"","Aubrieta x cultorum 'Hamburger Stadtpark'","","","42","BS","","","","","","P","","P11","",""
"","Astilbe japonica 'Europa'","","","62","BS","","","","","","P","","C2","",""
"","Asparagus maritimus","","","45","KZ","","","","","","P","","P9","",""
"","Berberis thunbergii 'Silver Rocket' PBR ","","","220","S","","","","","","T","30-40","C3","",""
"","Anthericum liliago","","","85","BS","","","","","","P","","C2","",""
"","Aster dumosus 'Island Samoa' PBR","","","78","Si","","","","","","P","","C2",94,""
"","Acer ×conspicuum 'Silver Vein' ","","","2214","S","","","","","","T","120-140","C15","",""
"","Aesculus hippocastanum 'Pyramidalis'","","","829","S","","","","","","T","100-120","C5","",""
"","Berberis thunbergii 'Flamingo 'PBR ","","","160","Si","","","","","","T","20-30","C2",18,""
"","Aster ericoides 'Esther'","",12,"33","BS","","","","","","P","","P9","",""
"","Aubrieta x cultorum 'Regado Red'","","","42","BS","","","","","","P","","P11","",""
"","Acer pseudoplatanus 'Corstorphinense'","","","1072","S","","","","","","T","160-180","C5 Pa","",""
"","Aesculus 'Laciniata'","","","743","S","","","","","","T","80-100","C5","",""
"","Artemisia stelleriana","","","42","BS","","","","","","P","","P11","",""
"","Amelanchier canadensis 'Prince William'","","","220","Li","","kanadensisk häggmispel, ätbar","","5","","T","40-60","C3",4,""
"","Aster ageratoides 'Starshine'","","","39","Si","","","","","","P","","P11",13,""
"","Anemone nemorosa 'Robinsoniana'","","","49","Si","","ljust blålila sort av vanlig vitsippa","","","","P","","P9",3,""
"","Aster dumosus 'Guliver'","","","42","BS","","","","","","P","","P11","",""
"","Agapanthus MI CASA 'Aaopro17' PBR","","","514","S","","","","0","","P","","C6","",""
"","Allium ursinum","","","30","KZ","","","","","","P","","P9","",""
"","Betula pendula FASTIGIATA JOES 'Jolep 1' PBR","","","686","S","","","","","","T","100-120","C5","",""
"","Acer micranthum","","","336","A","","vacker kinesisk vildart","","3","","T","50-60","C2",23,""
"","Actinidia kolomikta 'Anna'","","","252","A","","honklon","","","","K","","C3,5",20,""
"","Alchemilla epipsila","","","42","BS","","","","","","P","","P11","",""
"","Acer pseudosieboldianum fk. Best Form","","","420","A","","Höstfärg !! manchurisk solfjäderslönn, fröpl. från fin form","","","","T","50-80","C5/7,5",4,""
"","Aesculus mutabilis (x) 'Induta'","","","1343","S","","","","","","T","100-120","C20 Pa","",""
"","Acer pseudoplatanus 'Nizetti'","","","929","S","","","","","","T","120-140","C5 Pa","",""
"","Achillea millefolium 'Paprica'","","","68","S","","","","","","P","","C2","",""
"","Agapanthus 'Peter Pan'","","","514","S","","","","0","","P","","C6","",""
"","Aesculus chinensis","","","914","S","","snygga spänstiga blad som jag tror är mer motståndskraftiga mot kastanjemal än vanlig hästkastanj. Snyggt kopparfärgade nyblad.","","1?","","T","60-80","C7,5","",""
"","Acer rubrum","","","1248","A","","http://lindersplantskola.se/tradadventskalendern-8-dec-acer-rubrum-rodlonn/","","5","","T","250-280","C10/20",11,"http://fotodendron.se/trad/acer-rubrum/"
"","Ajuga reptans 'Gold Chang'","","","53","BS","","","","","","P","","P11","",""
"","Asplenium trichomanes","","","85","BS","","","","","","O","","P11","",""
"","Ajuga reptans 'Princess Nadia'","","","99","S","","","","","","P","","C3","",""
"","Buddleja davidii 'Miss Molly' PBR","","","226","S","","","","","","T","30-40","C3","",""
"","Asimina triloba 'zaailing'","","","225","KZ","","","","","","T","","P9","",""
"","Acer palmatum 'Dissectum Viride'","","","1982","S","","","","","","T","50-60 ","C5","",""
"","Acer platanoides 'Beskid' (syn. 'Marylka')","","","1167","S","","","","","","T","120-140","C12 Pa","",""
"","Aubrieta x cultorum 'Axcent Burgundy'","","","42","BS","","","","","","P","","P11","",""
"","Acer platanoides 'Oregon Pride'","","","1152","S","","","","","","T","120-140","C12 Pa","",""
"","Acer palmatum 'Seiryu'","","","3143","S","","","","","","T","60-80","C15","","https://youtu.be/nJLDlcrmgX8?t=51"
"","Amelanchier canadensis 'Globe'","","","629","S","","","","","busk","T","60-80","C5","",""
"","Azorella trifurcata 'Minima'","",12,"28","BS","","","","","","P","","P9","",""
"","Artemisia schmidtiana 'Nana Attraction'","","","42","BS","","","","","","P","","P11","",""
"","Acer platanoides 'Stolli'","","","608","A","","","","","spö","T","60","C5",1,""
"","Asarum europaeum","","","62","BS","","","","","","P","","C2","",""
"","Acer 'Ample Surprise' (longipes ssp. amplum x platanoides)","","","520","Li","","hybridlönn","","2 (-?)","","T","40-60","C7,5",4,""
"","Abies koreana","","","1257","S","","","","","","B","100-120","C30 klump","",""
"","Aconitum napellus","",12,"28","BS","","","","","","P","","P9","",""
"","Aquilegia vulgaris frökälla Linderslund","","","60","Li","","akleja","","","","P","","C2",6,""
"","Berberis thunbergii 'Red Carpet'","","","168","S","","","","","","T","25-30","C3","",""
"","Betula nana 'Golden Treasure' PBR","","","829","S","","","","","","T","100-120","C5 Pa","",""
"","Acer platanoides 'Stolli'","","","1343","S","","","","","","T","160-180","C10 Pa","",""
"","Anaphalis triplinervis 'Sommerschnee'","","","62","BS","","","","","","P","","C2","",""
"","Aesculus 'Digitata'","","","743","S","","","","","","T","40-60 ","C5","",""
"","Asclepias incarnata 'Soulmate'","","","85","BS","","","","","","P","","C2","",""
"","Anemone ×hybrida 'Honorine Jobert'","","","166","S","","","","","","P","","C3","",""
"","Amelanchier lamarckii","","","280","S","","","","","","T","80-100","C7,5","",""
"","Berberis thunbergii 'Concorde'","","","211","S","","","","","","T","20-25","C3","",""
"","Aesculus x hemiacantha 'Tor Nitzelius'","","","504","A","","Tors turbokastanj, hipp. x turbinata, mycket storbladig","","","ymp","T","40","C5",1,""
"","Abies alba 'Pendula'","","","387","S","","","","","","B","15-20","C3","",""
"","Betula nigra 'Summer Cascade' PBR","","","960","Si","","","","","","T","160-200","C7,5",5,""
"","Asparagus officinalis 'Connovers Colossal'","","","30","KZ","","","","","","P","","P9","",""
"","Acer palmatum 'Elegans'","","","2357","S","","","","","","T","80-100","C9","",""
"","Aruncus dioicus 'Kneiffii'","",12,"37","BS","","","","","","P","","P9","",""
"","Allium aflatunense 'Purple Sensation'","","","90","BS","","","","","","P","","C2","",""
"","Allium senescens","","","30","KZ","","","","","","P","","P9","",""
"","Aquilegia vulgaris 'Nora Barlow'","",12,"28","BS","","","","","","P","","P9","",""
"","Brunnera macrophylla","",12,"33","BS","","","","","","P","","P9","",""
"","Achillea millefolium 'Paprica'","","","44","Si","","","","","","P","","P11",98,""
"","Acer platanoides 'Globosum'","","","5143","S","","","","","","T","200-220/stamomf 12-14","C70 Pa","",""
"","Abies nordmanniana 'Kulista'","","","457","S","","","","","","B","20-25","C3","",""
"","Acer platanoides 'Gurba'","","","1152","S","","","","","","T","100-120","C10 Pa","",""
"","Allium fistulosum 'Welsh'","","","30","KZ","","","","","","P","","P9","",""
"","Ajuga x tenorii 'Chocolate Chip'","","","42","BS","","","","","","P","","P11","",""
"","Astilbe simplicifolia 'White Sensation®'","","","62","BS","","","","","","P","","C2","",""
"","Alnus x spaethii","","","1072","S","","japonica x subcordata","","","","T","240-260","C15","",""
"","Aralia chinensis var. nuda","","","392","A","","","","","","T","80","C7,5",1,""
"","Aster novi – belgii 'Island Barbados' PBR","","","78","Si","","","","","","P","","C2",150,""
"","Allium tuberosum","","","49","Si","","","","","","P","","C1,5",8,""
"","Artemisia ludoviciana","","","74","S","","","","","","P","","C2","",""
"","Acer platanoides 'Golden Globe'","","","4857","S","","","","","","T","200/stamomf 8-10","C90 Pa","",""
"","Aesculus chinensis","","","1400","S","","snygga spänstiga blad som jag tror är mer motståndskraftiga mot kastanjemal än vanlig hästkastanj. Snyggt kopparfärgade nyblad.","","1?","","T","180-200","C20","",""
"","Acer sieboldianum","","","336","A","","","","","","T","60-80","C3,5/5",16,""
"","Abies fraseri 'Piglet's Broom'","","","1400","Si","","","","","","B","30-40","C12",1,""
"","Acer tschonoskii rubripes syn. koreanum, komarowii ex H&S WC Korea","","","392","A","","Holmberg&Strindberg-insamling Sydkorea","","","busk","T","80","C5",1,""
"","Actinidia arguta 'Ananasnaya', självfertil","","","392","A","","krusbärsaktinidia, självfertil","","","","K","","C3,5",9,""
"","Alnus incana 'Laciniata'","","","686","S","","flikbladig gråal","","","","T","100-120","C5","",""
"","Anemone 'Summer Breeze'","","","200","S","","","","","","P","","C5","",""
"","Acer palmatum 'Dissectum'","","","2194","S","","","","","","T","","C5 50-60 cm","",""
"","Abelia ×grandiflora PINKY BELLS 'Lynn' PBR","","","381","S","","","","","","T","40-60","C5","",""
"","Amelanchier alnifolia 'Obelisk'","","","524","S","","smal, samlad kronform","","5","busk","T","60-80","C5","",""
"","Aubrieta gracilis 'Kitte® White'","","","42","BS","","","","","","P","","P11","",""
"","Achillea millefolium 'Apple Blossom'","","","254","S","","","","","","P","","C5","",""
"","Aquilegia caerulea 'Earlybird™ Yellow'","",12,"28","BS","","","","","","P","","P9","",""
"","Brassica oleracea var. ramosa x acephala ","","","38","KZ","","","","","","P","","P9","",""
"","Bergenia cordifolia 'Baby Doll'","","","85","BS","","","","","","P","","P11","",""
"","Achillea millefolium 'Listopad'","","","62","BS","","","","","","P","","C2","",""
"","Anthemis tinctoria","",12,"28","BS","","","","","","P","","P9","",""
"","Acer pectinatum ssp. forrestii","","","392","A","","","","","","T","40-50","C2",3,""
"","Bistorta affinis 'Superba'","","","78","Si","","","","","","P","","C2",8,""
"","Ajuga reptans 'Black Scalop'","","","49","Si","","","","","","P","","P11",112,""
"","Aubrieta x cultorum 'Hendersonii'","",12,"28","BS","","","","","","P","","P9","",""
"","Acer platanoides 'Novush'","","","1283","S","","","","","","T","80-100","C5 Pa","",""
"","Aesculus chinensis","","","829","S","","snygga spänstiga blad som jag tror är mer motståndskraftiga mot kastanjemal än vanlig hästkastanj. Snyggt kopparfärgade nyblad.","","1?","","T","40-60 ","C5","",""
"","Amelanchier alnifolia 'Northline'","","","392","A","","bärhäggmispel, ätbar","","5","","T","40-50","C3,5",15,""
"","Acer pensylvanicum","","","576","S","","amerikansk strimlönn","","4","","T","80-100","C6","","http://lindersplantskola.se/tradadventskalendern-11-dec-acer-pensylvanicum-strimlonn/"
"","Acer platanoides 'Globosum Select'","","","1786","S","","","","","","T","200","C20 Pa","",""
"","Betula nigra 'Summer Cascade' PBR","","","3929","S","","","","","","T","200-220/stamomf 10-12","C70 Pa","",""
"","Berberis thunbergii 'Inspiration 'PBR ","","","192","Si","","","","","","T","10-20","C2",16,""
"","Acer campestre","","","1400","S","","","","","","T","200-220","C30","","http://fotodendron.se/trad/acer-campestre/"
"","Acer platanoides 'Pyramidale Nanum'","","","1314","S","","","","","","T","120-140","C10 Pa","",""
"","Aquilegia caerulea 'Earlybird™ Red Yellow'","",12,"28","BS","","","","","","P","","P9","",""
"","Actinidia kolomikta 'Anna'","","","224","A","","honklon","","","","K","","C2",50,""
"","Abies koreana","","","6024","S","","","","","","B","200-220","C90 klump","",""
"","Bergenia cordifolia 'Rotblum'","","","42","BS","","","","","","P","","P11","",""
"","Abies koreana","","","5107","S","","","","","","B","180-200","C80 klump","",""
"","Andromeda polifolia 'Blue Ice'","","","168","S","","","","","","P","","C1","",""
"","Acer pensylvanicum","","","588","A","","amerikansk strimlönn","","4","","T","200-220","C5",19,""
"","Aster ericoides 'Pink Star'","","","62","BS","","","","","","P","","P11","",""
"","Amelanchier canadensis 'Prince William'","","","472","S","","kanadensisk häggmispel, ätbar","","5","busk","T","60-80","C5","",""
"","Athyrium filix femina 'Rotstiel Grandiceps'","","","147","Si","","","","","","O","","P15",12,""
"","Acantholimon glumaceum","","","85","BS","","","","","","P","","C2","",""
"","Acer platanoides 'Oregon's Pride'","","","982","S","","","","","","T","120-140","C7,5","",""
"","Athyrium filix femina 'Rotstiel'","","","196","Si","","","","","","O","","C5",16,""
"","Aster ageratoides 'Stardust'","","","42","BS","","","","","","P","","P11","",""
"","Astilbe thunbergii 'Strausenfeder'","","","62","BS","","","","","","P","","C2","",""
"","Acer palmatum 'Shidava Gold' ","","","3143","S","","","","","","T","60-80","C15","",""
"","Aster alpinus 'Happy End'","",12,"28","BS","","","","","","P","","P9","",""
"","Acer platanoides 'Lorbergii'","","","943","S","","","","","","T","120-140","C5","",""
"","Agapanthus africanus 'Twister' PBR","","","196","Si","","Vit - Violett","","0","","P","","C2",4,""
"","Acer palmatum 'Sumi Nagashi'","","","8818","S","","","","","","T","","C70 200/250","",""
"","Berberis thunbergii 'Coronita'","","","126","S","","","","","","T","30-40","C3","",""
"","Berberis thunbergii  BONANZA GOLD 'Bogozam'(PBR) ","","","214","S","","","","","","T","15-20","C3","",""
"","Achillea clypeolata 'Moonshine'","","","42","BS","","","","","","P","","P11","",""
"","Ajuga reptans","",12,"28","BS","","","","","","P","","P9","",""
"","Betula pendula 'Spider Alley' PBR","","","1972","S","","","","","","T","160-180","C20","",""
"","Araucaria araucana","","","416","A","","","","1","","B","30-35","C2",15,"http://fotodendron.se/trad/araucaria-araucana/"
"","Berberis 'Pęchcin'","","","121","S","","","","","","T","30-40","C3","",""
"","Aesculus turbinata","","","1404","A","","japansk hästkastanj","","","","T","160-200","C10-20",2,""
"","Achillea macrophylla","","","180","Li","","jätteröllika","","","","P","","C5",1,""
"","Buddleja alternifolia ","","","60","KZ","","Halvklättrande annorlunda Buddleja med långa tunna blomklasar.","","","","T","","P9","",""
"","Acer palmatum 'Flavescens'","","","4524","S","","","","","","T","140-160","C20","",""
"","Betula nigra","","","380","Li","","flodbjörk","","2","","T","80-100","C3,5",20,""
"","Abies nordmanniana 'Barabit's Compact'","","","2080","Si","","","","","","B","80-90","C15",1,""
"","Acer shirasawanum","","","252","A","","","","","","T","25-35","C2",2,""
"","Achnatherum calamagrostis (Stipa calamagrostis)","",12,"33","BS","","","","","","G","","P9","",""
"","Abies koreana 'Green Ball'","","","480","Si","","","","","","B","15-20","C3",1,""
"","Amelanchier sp. 'Blue Ray'","","","143","KZ","","","","","","T","","C2","",""
"","Aster novae-angliae 'Abendsonne'","","","74","S","","","","","","P","","C2","",""
"","Astrantia major","",12,"28","BS","","","","","","P","","P9","",""
"","Acer saccharinum","","","500","S","","silverlönn","","3","","T","160-180","C7,5","","https://live.staticflickr.com/65535/51811409510_5b6fe2a181_o.png"
"","Betula pendula 'Youngii'","","","4000","S","","tårbjörk","","6","","T","260-280/stamomf 10-12","C55 Pa","",""
"","Aster ericoides 'Schneetanne'","","","62","BS","","","","","","P","","C2","",""
"","Acer campestre 'Nanum'","","","7275","S","","","","","10/12 stamomfång","T","225","C65 Pa","",""
"","Acanthus mollis","","","257","S","","","","","","P","","C5","",""
"","Abies koreana","","","1126","S","","","","","","B","80-100","C30 klump","",""
"","Acer platanoides 'Globosum'","","","3143","S","","","","","","T","200-220/stamomf  8-10","C45 Pa","",""
"","Acer rubrum 'Sekka'","","","971","S","","rödlönn","","","","T","80-100","C5","",""
"","Amelanchier alnifolia 'Northline'","","","143","KZ","","bärhäggmispel, ätbar","","5","","T","","C2","",""
"","Artemisia absinthium","",12,"28","BS","","","","","","P","","P9","",""
"","Aster novae-angliae 'Barr's Pink'","","","74","S","","","","","","P","","C2","",""
"","Agapanthus 'Northern Star'","","","514","S","","","","0","","P","","C6","",""
